Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Category,Digital_Status
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1995,0.000727,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1996,0.00884,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,0.0344,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,0.0503,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,0.114,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.318059713612037,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,0.619782266151425,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,1.20777388492125,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,2.94190286101524,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,3.0235280420962,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,3.101900101,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,3.599999905,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,4.400000095,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,5.199999809,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,6.1,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,7.2,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,8.800000191,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2012,10.5,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2013,13.0,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,16.5,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,16.5878548475992,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,16.6,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,17.82710075,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2018,19.5,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,22.6687733618171,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,24.7227993,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2021,26.96290016,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2022,29.40589905,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2023,32.07040024,Technology,Emerging Connectivity
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2024,34.97622513,Technology,Emerging Connectivity
