Year,Internet Usage,Electricity Access
1995,0.000727,5.42734336853027
1996,0.00884,7.37853050231934
1997,0.0344,9.32631778717041
1998,0.0503,14.5
1999,0.114,13.2088918685913
2000,0.318059713612037,15.2
2001,0.619782266151425,17.0
2002,1.20777388492125,18.9
2003,2.94190286101524,16.0
2004,3.0235280420962,22.6
2005,3.101900101,24.5
2006,3.599999905,26.4
2007,4.400000095,28.3
2008,5.199999809,30.3
2009,6.1,23.0
2010,7.2,19.2
2011,8.800000191,36.2
2012,10.5,38.1
2013,13.0,40.1
2014,16.5,36.0
2015,16.5878548475992,41.6
2016,16.6,53.1
2017,17.82710075,55.8
2018,19.5,61.2
2019,22.6687733618171,69.7
2020,24.7227993,71.5
2021,26.96290016,76.5
2022,29.40589905,76.0
2023,32.07040024,76.2
