Year,Life_Expectancy
1960,48.477
1961,49.33
1962,50.104
1963,50.758
1964,51.323
1965,51.886
1966,52.383
1967,52.796
1968,53.302
1969,53.734
1970,54.143
1971,54.543
1972,55.013
1973,55.5
1974,56.039
1975,56.62
1976,57.153
1977,57.684
1978,58.234
1979,58.691
1980,59.175
1981,59.562
1982,59.904
1983,60.342
1984,60.611
1985,60.856
1986,60.818
1987,60.721
1988,60.32
1989,59.99
1990,58.334
1991,57.826
1992,57.095
1993,56.668
1994,56.101
1995,55.856
1996,55.575
1997,55.478
1998,55.568
1999,55.866
2000,56.084
2001,56.501
2002,56.759
2003,57.369
2004,57.947
2005,58.51
2006,59.059
2007,59.407
2008,59.955
2009,60.483
2010,60.915
2011,61.283
2012,61.537
2013,61.729
2014,61.99
2015,62.279
2016,62.526
2017,62.725
2018,62.825
2019,62.939
2020,61.596
2021,61.225
2022,63.549
2023,63.646
2024,63.834
