Year,Population_Growth
1961,3.73009594178482
1962,3.82605158835613
1963,3.88372295387027
1964,3.92703224813929
1965,3.98207596273243
1966,3.98604523872044
1967,3.96686756505209
1968,3.9536741403055
1969,3.92315983423203
1970,3.84740523915883
1971,3.62867804375875
1972,3.47737996329827
1973,3.45251320661983
1974,3.38678136919723
1975,3.3228334998343
1976,3.24719801479584
1977,3.32017154246189
1978,3.44214036466766
1979,3.46501914434705
1980,3.54426236090347
1981,3.57517296207229
1982,3.57748566435714
1983,3.65320193175194
1984,3.67757870524855
1985,3.64262207395944
1986,3.5800083750048
1987,3.52696880389304
1988,3.52708553980729
1989,3.50683931732563
1990,3.44045635367696
1991,3.23997624716531
1992,3.06483168454324
1993,2.96883713169678
1994,2.903399231403
1995,2.83906557159965
1996,2.75278021555245
1997,2.73276496655617
1998,2.75957646009425
1999,2.88430050146184
2000,3.01293994477925
2001,3.13629206541925
2002,3.14626442047843
2003,3.08528898836117
2004,3.10482476419105
2005,3.07223123352542
2006,3.04704867411558
2007,3.02220921188685
2008,3.02964938264436
2009,3.0211086032266
2010,2.90158845467743
2011,2.75013743696978
2012,2.6080744180495
2013,2.47210752389349
2014,2.33901192230694
2015,2.2270329432256
2016,2.20775684612709
2017,2.17412854990493
2018,2.03083744189606
2019,1.96381549826771
2020,1.96197633664853
2021,1.90040858948898
2022,1.92297608206469
2023,1.98296028478422
2024,1.95751431565234
